team_id,year,goalkeeper_avg_age,goalkeeper_market_value,defender_avg_age,defender_market_value,attack_avg_age,attack_market_value,total_avg_age,total_market_value
6602,2024,28.2,50000.0,25.9,1750000.0,24.7,575000.0,26.1,2380000.0
13313,2010,31.7,200000.0,25.8,575000.0,22.8,300000.0,26.0,1580000.0
13313,2012,30.8,400000.0,26.8,875000.0,26.4,500000.0,27.5,2830000.0
13313,2013,29.7,300000.0,26.0,825000.0,25.2,500000.0,26.8,2330000.0
13313,2015,33.6,200000.0,26.3,1100000.0,27.7,650000.0,27.8,2950000.0
13313,2017,20.4,,24.7,150000.0,26.8,,26.2,350000.0
13313,2019,28.2,,26.2,500000.0,25.4,250000.0,26.9,1280000.0
13313,2022,27.3,375000.0,26.4,825000.0,24.5,875000.0,25.7,3100000.0
13313,2024,32.8,300000.0,28.0,500000.0,25.5,850000.0,27.9,2630000.0
3444,2010,28.1,2850000.0,26.4,33350000.0,25.5,68480000.0,25.8,135380000.0
3444,2012,26.8,2000000.0,23.0,19630000.0,24.2,61550000.0,23.6,113280000.0
3444,2013,28.4,1850000.0,23.2,13630000.0,23.4,62880000.0,23.6,101650000.0
3444,2015,27.2,5750000.0,22.8,10600000.0,22.5,41600000.0,23.1,87500000.0
3444,2017,24.7,375000.0,23.8,11250000.0,22.4,68500000.0,23.2,108130000.0
3444,2019,27.1,1430000.0,25.7,26650000.0,24.0,160100000.0,25.5,237830000.0
3444,2022,24.2,2750000.0,23.9,43080000.0,23.8,248080000.0,23.8,382500000.0
3444,2024,25.9,2550000.0,25.7,49950000.0,26.7,371900000.0,26.0,473400000.0
15229,2010,30.5,100000.0,27.3,550000.0,28.0,350000.0,27.8,1630000.0
15229,2012,27.2,100000.0,26.7,550000.0,26.5,375000.0,26.8,1830000.0
15229,2013,25.4,300000.0,27.8,700000.0,25.5,425000.0,26.5,2080000.0
15229,2015,24.6,250000.0,26.0,,25.2,700000.0,25.9,1500000.0
15229,2017,26.9,250000.0,26.5,,26.1,550000.0,26.8,900000.0
15229,2019,25.7,250000.0,25.7,650000.0,27.8,750000.0,26.5,1750000.0
15229,2022,24.4,,24.8,525000.0,26.9,750000.0,25.3,1530000.0
15229,2024,26.7,,26.6,600000.0,29.1,850000.0,27.5,1930000.0
